,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
211,212,2326,南門公園,10,0,桃園區,20240715205156,24.991347,121.306248,文化街64號對面公園,Taoyuan Dist.,Nanmen Park,"No.64, Wunhua St.(opposite)",8,1
212,213,2331,觀音區棒壘球場,22,9,觀音區,20240715205132,25.044671,121.138213,福興街147之1號對面停車場,Guanyin Dist.,Baseball and Softball Field of Guanyin Dist.,"No147-1, Fuxing Street, Guanyin District",12,1
213,214,2332,中壢公15公園,14,4,中壢區,20240715205118,25.000532,121.207897,領航南路一段218號對面公園,Zhongli Dist.,Zhongli Public 15th Park,"No.218, Sec. 1, Linghang S. Rd.(opposite)",10,1
214,215,2333,介壽公園,8,1,桃園區,20240715205126,24.979016,121.306013,介壽段16地號公園,Taoyuan Dist.,Jieshou Park,No.16 of Jieshou Section,7,1
215,216,2334,桃園高中,14,0,桃園區,20240715205131,24.997204,121.324855,成功路三段8號旁邊空地,Taoyuan Dist.,Taoyuan Senior High School,"No.8, Sec. 3, Chenggong Rd.",14,1
216,217,2335,新街國小,10,1,中壢區,20240715205136,24.964378,121.228734,環北路564號旁步道,Zhongli Dist.,Shin Jie Elementary School,"No.564, Huanbei Rd.",9,1
217,218,2336,福州橋,8,3,中壢區,20240715205115,24.968299,121.234777,福州二街513號對面步道,Zhongli Dist.,Fuzhou Bridge,"No.513, Fujhou 2nd St.(opposite)",4,1
218,219,2337,陽明運動公園(建新街),12,0,桃園區,20240715205129,24.980992,121.311016,建新街163號對面公園籃球場旁,Taoyuan Dist.,Yangming Sports Park(Jianxin St.),"No.163, Jiansin St.(opposite)",12,1
219,220,2339,貿商社區,16,10,龜山區,20240715205115,24.990411,121.334721,自強南路自強南路301巷口,Guishan Dist.,Maoshang Community,Zihciang S. Rd./Ln.301 Zihciang S. Rd.,5,1
220,221,2340,平鎮棒球場,8,0,平鎮區,20240715205140,24.946102,121.219066,德育路240號旁人行道,Pingzhen Dist.,Baseball Field of Pingzhen Dist.,"No.240, Deyu Rd.",8,1
221,222,2341,大溪永昌宮,22,14,大溪區,20240715205123,24.904152,121.26523,仁和路二段190巷27號前方廣場,Daxi Dist.,Daxi YongChang Temple,"No.27, Ln. 190, Sec. 2, Renhe Rd.",8,1
222,223,2343,高鐵桃園站(3號出口),12,3,中壢區,20240715205123,25.012423,121.215221,高鐵北路一段6號前人行道,Zhongli Dist.,HSR Taoyuan Station (Exit.3),HSR Taoyuan Station (Exit.3),9,1
223,224,2346,三元公園,22,4,大溪區,20240715205126,24.882799,121.266547,員林路二段450號對面公園,Daxi Dist.,Sanyuan Park ,"No.450, Sec. 2, Yuanlin Rd.(opposite)",16,1
224,225,2347,同安親子公園,8,5,桃園區,20240715205153,25.017355,121.302291,同安街358號對面公園,Taoyuan Dist.,Tong An Parent-child Park,"No.358, Tong&rsquo;an St.(opposite)",3,1
225,226,2348,老街溪環河步道(環北路),8,2,中壢區,20240715205118,24.9661,121.219325,環北路92號旁公園,Zhongli Dist.,Laojiexi Huanhe Trail (Huanbei Rd.),"No.92, Huanbei Rd.",6,1
